dataset,num_hubs,num_bridges,default_nodes,default_edges,processed_nodes,processed_edges,delta_nodes,delta_edges,default_diameter,default_avg_diameter,processed_diameter,processed_avg_diameter,delta_diameter,delta_avg_diameter,default_max_degree,default_avg_degree,processed_max_degree,processed_avg_degree,delta_max_degree,delta_avg_degree,default_density,processed_density,delta_density,default_node2edge_ratio,processed_node2edge_ratio,delta_node2edge_ratio,processed_hubs_bridges_ratio,normalized_hubs_bridges_ratio
rel-amazon,0,1,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
rel-avito,1,4,8,11,8,14,0,3,2,1.41,2,1.31,0,-0.09,5,2.75,5,3.5,0,0.75,0.2,0.25,0.05,0.73,0.57,-0.16,,0.12
rel-event,0,3,5,7,5,7,0,0,2,1.12,2,1.12,0,0.0,5,2.8,5,2.8,0,0.0,0.35,0.35,0.0,0.71,0.71,0.0,,0.0
rel-f1,2,3,9,13,7,13,-2,0,3,1.58,2,1.31,-1,-0.27,6,2.89,8,3.71,2,0.83,0.18,0.31,0.13,0.69,0.54,-0.15,1.0,0.22
rel-hm,0,1,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
rel-stack,1,4,7,12,7,15,0,3,3,1.39,3,1.39,0,0.0,10,3.43,14,4.29,4,0.86,0.29,0.36,0.07,0.58,0.47,-0.12,,0.14
rel-trial,0,5,15,15,15,15,0,0,4,2.16,4,2.16,0,0.0,10,2.0,10,2.0,0,0.0,0.07,0.07,0.0,1.0,1.0,0.0,,0.0
ctu-accidents,0,1,3,3,3,3,0,0,1,0.67,1,0.67,0,0.0,2,2.0,2,2.0,0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,,0.0
ctu-adventureworks,10,18,71,90,65,130,-6,40,9,4.19,8,3.52,-1,-0.67,18,2.69,21,4.26,3,1.58,0.02,0.03,0.01,0.79,0.5,-0.29,1.67,0.14
ctu-airline,1,0,19,33,18,528,-1,495,2,1.8,1,0.94,-1,-0.85,33,3.47,128,58.67,95,55.19,0.1,1.73,1.63,0.58,0.03,-0.54,1.0,0.05
ctu-atherosclerosis,0,0,4,3,4,3,0,0,2,1.12,2,1.12,0,0.0,3,1.5,3,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-basketballmen,0,2,9,9,9,9,0,0,5,2.27,5,2.27,0,0.0,5,2.0,5,2.0,0,0.0,0.12,0.12,0.0,1.0,1.0,0.0,,0.0
ctu-basketballwomen,0,2,8,8,8,8,0,0,4,1.94,4,1.94,0,0.0,6,2.0,6,2.0,0,0.0,0.14,0.14,0.0,1.0,1.0,0.0,,0.0
ctu-biodegradability,0,2,5,5,5,5,0,0,3,1.44,3,1.44,0,0.0,4,2.0,4,2.0,0,0.0,0.25,0.25,0.0,1.0,1.0,0.0,,0.0
