dataset,num_hubs,num_bridges,default_nodes,default_edges,processed_nodes,processed_edges,delta_nodes,delta_edges,default_diameter,default_avg_diameter,processed_diameter,processed_avg_diameter,delta_diameter,delta_avg_diameter,default_max_degree,default_avg_degree,processed_max_degree,processed_avg_degree,delta_max_degree,delta_avg_degree,default_density,processed_density,delta_density,default_node2edge_ratio,processed_node2edge_ratio,delta_node2edge_ratio,processed_hubs_bridges_ratio,normalized_hubs_bridges_ratio
ctu-accidents,0,1,3,3,2,2,-1,-1,1,0.67,1,0.5,0,-0.17,2,2.0,2,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-adventureworks,10,18,71,90,53,124,-18,34,9,4.19,7,3.05,-2,-1.13,18,2.69,23,5.06,5,2.37,0.02,0.04,0.03,0.79,0.43,-0.36,1.56,0.39
ctu-airline,1,0,19,33,18,528,-1,495,2,1.8,1,0.94,-1,-0.85,33,3.47,128,58.67,95,55.19,0.1,1.73,1.63,0.58,0.03,-0.54,1.0,0.05
ctu-atherosclerosis,0,0,4,3,4,3,0,0,2,1.12,2,1.12,0,0.0,3,1.5,3,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-basketballmen,0,2,9,9,7,7,-2,-2,5,2.27,4,1.88,-1,-0.39,5,2.0,5,2.0,0,0.0,0.12,0.17,0.04,1.0,1.0,0.0,1.0,0.22
ctu-basketballwomen,0,2,8,8,6,6,-2,-2,4,1.94,3,1.56,-1,-0.38,6,2.0,6,2.0,0,0.0,0.14,0.2,0.06,1.0,1.0,0.0,1.0,0.25
ctu-biodegradability,0,2,5,5,3,3,-2,-2,3,1.44,2,0.89,-1,-0.55,4,2.0,4,2.0,0,0.0,0.25,0.5,0.25,1.0,1.0,0.0,1.0,0.4
ctu-bupa,0,1,9,8,8,7,-1,-1,3,1.73,2,1.53,-1,-0.2,7,1.78,7,1.75,0,-0.03,0.11,0.12,0.01,1.12,1.14,0.02,1.0,0.11
ctu-carcinogenesis,4,0,6,13,2,4,-4,-9,2,1.17,1,0.5,-1,-0.67,9,4.33,5,4.0,-4,-0.33,0.43,2.0,1.57,0.46,0.5,0.04,1.0,0.67
ctu-cde,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-chess,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-classicmodels,0,2,8,8,7,8,-1,0,6,2.38,5,2.04,-1,-0.33,4,2.0,5,2.29,1,0.29,0.14,0.19,0.05,1.0,0.88,-0.12,2.0,0.25
ctu-cora,0,1,3,3,2,2,-1,-1,2,0.89,1,0.5,-1,-0.39,3,2.0,3,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-countries,0,1,4,3,3,2,-1,-1,3,1.25,2,0.89,-1,-0.36,2,1.5,2,1.33,0,-0.17,0.25,0.33,0.08,1.33,1.5,0.17,1.0,0.25
ctu-craftbeer,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-credit,1,1,8,9,7,10,-1,1,3,1.66,2,1.35,-1,-0.31,5,2.25,6,2.86,1,0.61,0.16,0.24,0.08,0.89,0.7,-0.19,2.0,0.25
ctu-dallas,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-dcg,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-diabetes,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-dunur,0,16,17,32,1,1,-16,-31,2,1.77,0,0.0,-2,-1.77,32,3.76,2,2.0,-30,-1.76,0.12,0.0,-0.12,0.53,1.0,0.47,1.0,0.94
ctu-elti,0,10,11,20,1,1,-10,-19,2,1.65,0,0.0,-2,-1.65,20,3.64,2,2.0,-18,-1.64,0.18,0.0,-0.18,0.55,1.0,0.45,1.0,0.91
ctu-employee,0,2,6,6,4,3,-2,-3,3,1.44,2,1.12,-1,-0.32,4,2.0,3,1.5,-1,-0.5,0.2,0.25,0.05,1.0,1.33,0.33,1.0,0.33
ctu-ergastf1,2,7,14,21,6,11,-8,-10,3,1.84,2,1.17,-1,-0.67,10,3.0,7,3.67,-3,0.67,0.12,0.37,0.25,0.67,0.55,-0.12,1.12,0.64
ctu-expenditures,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-financial,0,1,8,8,8,9,0,1,3,1.72,3,1.59,0,-0.12,5,2.0,6,2.25,1,0.25,0.14,0.16,0.02,1.0,0.89,-0.11,,0.12
ctu-fnhk,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-ftp,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-geneea,0,4,19,20,15,16,-4,-4,7,3.02,5,2.48,-2,-0.54,5,2.11,5,2.13,0,0.03,0.06,0.08,0.02,0.95,0.94,-0.01,1.0,0.21
ctu-genes,0,1,3,3,2,2,-1,-1,2,0.89,1,0.5,-1,-0.39,3,2.0,3,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-gosales,0,1,5,4,4,2,-1,-2,3,1.44,2,0.8,-1,-0.64,3,1.6,2,1.33,-1,-0.27,0.2,0.17,-0.03,1.25,2.0,0.75,1.0,0.2
