seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[14, 19, 14, 17, 15]",58.386,0.038,0.0,0.011,0.0,0.073,0.0,0.034,0.0,0.009,0.0,0.127,0.0
"[42, 43, 44, 45, 46]",False,default,True,default_combinations,"[18, 17, 20, 16, 16]",70.425,0.039,0.0,0.011,0.0,0.083,0.0,0.034,0.0,0.009,0.0,0.141,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_attributes,"[18, 17, 22, 16, 23]",69.254,0.038,0.0,0.011,0.0,0.083,0.0,0.034,0.0,0.009,0.0,0.137,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[21, 17, 22, 23, 24]",69.067,0.038,0.0,0.011,0.0,0.082,0.0,0.034,0.0,0.009,0.0,0.135,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[23, 16, 21, 17, 22]",59.293,0.039,0.0,0.011,0.0,0.079,0.0,0.034,0.0,0.009,0.0,0.126,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[23, 24, 14, 23, 25]",62.114,0.043,0.0,0.013,0.0,-0.069,0.0,0.039,0.0,0.01,0.0,-0.044,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[23, 20, 21, 18, 24]",93.02,0.039,0.0,0.011,0.0,0.074,0.0,0.034,0.0,0.009,0.0,0.114,0.0
"[42, 43, 44, 45, 46]",True,default,True,default_combinations,"[18, 14, 19, 17, 10]",64.137,0.039,0.0,0.011,0.0,0.075,0.0,0.034,0.0,0.009,0.0,0.12,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_attributes,"[21, 23, 20, 23, 22]",63.883,0.039,0.0,0.011,0.0,0.08,0.001,0.034,0.0,0.009,0.0,0.122,0.001
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[19, 25, 20, 20, 14]",63.856,0.039,0.0,0.011,0.0,0.084,0.0,0.034,0.0,0.009,0.0,0.126,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,default_combinations,"[19, 24, 21, 23, 19]",67.145,0.043,0.0,0.013,0.0,-0.06,0.0,0.039,0.0,0.01,0.0,-0.037,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_attributes,"[25, 22, 22, 25, 25]",67.12,0.043,0.0,0.013,0.0,-0.068,0.0,0.039,0.0,0.01,0.0,-0.042,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[25, 25, 20, 22, 23]",67.17,0.043,0.0,0.013,0.0,-0.068,0.0,0.039,0.0,0.01,0.0,-0.043,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,default_combinations,"[20, 23, 24, 24, 24]",98.76,0.039,0.0,0.011,0.0,0.064,0.0,0.034,0.0,0.009,0.0,0.118,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_attributes,"[20, 25, 13, 25, 16]",98.274,0.039,0.0,0.011,0.0,0.08,0.0,0.034,0.0,0.009,0.0,0.138,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[20, 15, 25, 25, 16]",98.025,0.039,0.0,0.011,0.0,0.088,0.0,0.034,0.0,0.008,0.0,0.143,0.0
