seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[11, 8, 15, 11, 17]",68.482,3.457,0.006,18.066,0.453,0.335,0.001,3.139,0.001,15.546,0.169,0.277,0.0
"[42, 43, 44, 45, 46]",False,default,True,default_combinations,"[15, 16, 16, 14, 9]",149.758,3.489,0.003,17.799,0.152,0.344,0.0,3.178,0.001,15.622,0.051,0.273,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_attributes,"[15, 14, 9, 16, 17]",160.025,4.051,0.0,23.775,0.039,0.124,0.0,3.549,0.0,18.952,0.048,0.118,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[16, 15, 16, 15, 12]",218.432,3.373,0.006,17.224,0.695,0.366,0.001,3.051,0.003,14.684,0.32,0.317,0.001
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[7, 14, 14, 12, 13]",108.487,3.412,0.009,17.625,0.813,0.351,0.001,3.152,0.001,15.579,0.086,0.275,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[14, 17, 17, 17, 14]",115.086,3.482,0.007,19.359,0.922,0.287,0.001,3.204,0.0,15.858,0.095,0.262,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[13, 12, 11, 12, 11]",193.537,3.433,0.004,18.053,0.583,0.335,0.001,3.1,0.001,15.178,0.07,0.294,0.0
"[42, 43, 44, 45, 46]",True,default,True,default_combinations,"[7, 13, 10, 12, 10]",82.737,3.785,0.018,20.806,1.878,0.234,0.003,3.374,0.003,17.025,0.149,0.208,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_attributes,"[17, 10, 11, 16, 16]",97.71,4.074,0.002,24.044,0.152,0.114,0.0,3.567,0.0,19.165,0.037,0.108,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[14, 9, 13, 11, 13]",169.114,3.367,0.011,17.257,0.721,0.364,0.001,3.104,0.004,15.181,0.154,0.294,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,default_combinations,"[16, 13, 17, 12, 15]",94.458,3.442,0.008,18.849,0.831,0.306,0.001,3.2,0.0,15.924,0.055,0.259,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_attributes,"[13, 17, 13, 16, 12]",105.048,4.061,0.003,23.944,0.254,0.118,0.0,3.563,0.0,19.117,0.099,0.111,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[15, 15, 12, 12, 12]",174.57,3.42,0.008,18.323,1.053,0.325,0.001,3.194,0.002,15.77,0.206,0.266,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,default_combinations,"[16, 16, 11, 11, 14]",199.437,3.428,0.002,17.457,0.35,0.357,0.0,3.141,0.0,15.323,0.032,0.287,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_attributes,"[15, 14, 17, 14, 15]",211.547,4.041,0.0,23.701,0.018,0.127,0.0,3.573,0.0,19.304,0.019,0.102,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[13, 11, 10, 9, 8]",285.493,3.321,0.001,16.525,0.065,0.391,0.0,3.101,0.0,15.156,0.05,0.295,0.0
