dataset,task,model,tabular_model,seed,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epoch,training_time_s,best_val_mae,best_val_mse,best_val_r2,best_test_mae,best_test_mse,best_test_r2
rel-f1,driver-position,sage_edge_attr,resnet,42,False,default,False,default_combinations,12,65.913,3.118,15.536,0.277,3.456,18.046,0.335
rel-f1,driver-position,sage_edge_attr,resnet,42,False,default,True,default_combinations,13,144.458,3.209,15.871,0.262,3.509,17.751,0.346
rel-f1,driver-position,sage_edge_attr,resnet,42,False,default,True,keep_attributes,15,157.579,3.533,18.74,0.128,4.065,23.862,0.121
rel-f1,driver-position,sage_edge_attr,resnet,42,False,default,True,keep_table,15,214.297,3.112,15.067,0.299,3.512,18.301,0.326
rel-f1,driver-position,sage_edge_attr,resnet,42,True,default,False,default_combinations,12,103.469,3.169,15.813,0.264,3.353,17.276,0.364
rel-f1,driver-position,sage_edge_attr,resnet,42,True,keep_attributes,False,default_combinations,16,110.612,3.194,15.672,0.271,3.588,20.258,0.254
rel-f1,driver-position,sage_edge_attr,resnet,42,True,keep_table,False,default_combinations,13,188.446,3.235,16.351,0.239,3.366,17.635,0.35
rel-f1,driver-position,sage_edge_attr,resnet,42,True,default,True,default_combinations,11,77.413,3.319,16.599,0.228,3.765,20.34,0.251
rel-f1,driver-position,sage_edge_attr,resnet,42,True,default,True,keep_attributes,13,91.112,3.58,19.246,0.105,4.099,24.31,0.105
rel-f1,driver-position,sage_edge_attr,resnet,42,True,default,True,keep_table,11,163.938,3.2,15.614,0.274,3.38,17.125,0.369
rel-f1,driver-position,sage_edge_attr,resnet,42,True,keep_attributes,True,default_combinations,13,86.558,3.297,17.095,0.205,3.309,17.864,0.342
rel-f1,driver-position,sage_edge_attr,resnet,42,True,keep_attributes,True,keep_attributes,17,99.636,3.493,18.486,0.14,3.97,22.914,0.156
rel-f1,driver-position,sage_edge_attr,resnet,42,True,keep_attributes,True,keep_table,17,171.532,3.108,15.338,0.286,3.446,19.51,0.281
rel-f1,driver-position,sage_edge_attr,resnet,42,True,keep_table,True,default_combinations,15,193.96,3.219,15.83,0.263,3.445,17.867,0.342
rel-f1,driver-position,sage_edge_attr,resnet,42,True,keep_table,True,keep_attributes,15,206.832,3.627,19.936,0.072,4.125,24.624,0.093
