seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[16, 16, 16, 16, 16]",936.783,3281.833,199.872,140924337.98,24217579271.332,-0.075,0.0,3796.156,200.492,172718598.37,32379750948.338,-0.084,0.0
"[42, 43, 44, 45, 46]",False,default,True,default_combinations,"[16, 16, 16, 16, 16]",1215.036,3276.66,189.441,140867585.555,22818002461.796,-0.075,0.0,3790.965,190.944,172652954.548,30560116295.104,-0.083,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_attributes,"[16, 16, 16, 16, 16]",1205.339,3282.091,59.163,140927398.105,7145250437.156,-0.075,0.0,3796.421,60.093,172722177.061,9558634933.119,-0.084,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[16, 16, 16, 16, 16]",1363.194,3275.166,83.284,140851113.682,10175946126.148,-0.074,0.0,3789.42,84.697,172633918.02,13624493732.467,-0.083,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[16, 16, 16, 16, 16]",917.57,3280.854,148.733,140908951.634,16801235109.512,-0.075,0.0,3795.132,150.793,172701503.606,22453308348.246,-0.084,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[16, 16, 16, 16, 16]",872.07,3268.245,46.309,140774758.218,5676561383.353,-0.074,0.0,3782.418,47.072,172545573.313,7604150543.736,-0.083,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[16, 16, 16, 16, 16]",1201.228,3287.005,370.321,140982123.718,45115810447.752,-0.075,0.0,3801.326,373.101,172785397.192,60276347011.368,-0.084,0.0
"[42, 43, 44, 45, 46]",True,default,True,default_combinations,"[16, 16, 16, 16, 16]",1068.764,3278.63,176.73,140872149.821,25254764568.322,-0.075,0.0,3792.865,179.479,172658796.965,33858571450.869,-0.083,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_attributes,"[16, 16, 16, 16, 16]",1183.923,3291.221,41.092,141013112.543,5003633749.978,-0.076,0.0,3805.493,41.058,172822123.469,6650083197.409,-0.084,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[16, 16, 16, 16, 16]",1270.407,3272.337,380.713,140804280.414,42140600375.092,-0.074,0.0,3786.629,378.686,172580226.575,56395074161.593,-0.083,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,default_combinations,"[16, 16, 16, 16, 16]",1118.037,3264.509,35.191,140733886.252,4280776127.385,-0.074,0.0,3778.683,35.616,172498272.208,5735657917.144,-0.082,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_attributes,"[16, 16, 16, 16, 16]",1217.581,3261.237,173.969,140697478.951,21268611986.442,-0.073,0.0,3775.357,175.881,172456087.886,28505605779.128,-0.082,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[16, 16, 16, 16, 16]",1224.476,3277.566,232.682,140877186.948,28522526645.227,-0.075,0.0,3791.78,235.562,172664048.942,38163854476.197,-0.084,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,default_combinations,"[16, 16, 16, 16, 16]",1362.592,3274.843,47.763,140847728.941,5798274895.193,-0.074,0.0,3789.149,48.07,172630021.317,7760854355.943,-0.083,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_attributes,"[16, 16, 16, 16, 16]",1420.025,3288.167,258.669,140995159.331,31449299609.653,-0.076,0.0,3802.553,260.799,172800506.501,42063128552.467,-0.084,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[16, 16, 16, 16, 16]",1367.399,3266.161,133.983,140752055.302,16138542916.023,-0.074,0.0,3780.348,135.918,172519259.061,21632274520.498,-0.083,0.0
