seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[8, 7, 18, 18, 7]",210.39,0.724,0.001,0.88,0.0,0.824,0.0,0.778,0.0,0.777,0.0,0.903,0.0,0.868,0.0,0.735,0.0
"[42, 43, 44, 45, 46]",False,default,True,default_combinations,"[2, 4, 6, 19, 2]",482.745,0.713,0.001,0.867,0.0,0.823,0.0,0.76,0.0,0.763,0.001,0.908,0.0,0.86,0.001,0.736,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_attributes,"[23, 32, 21, 34, 15]",532.674,0.705,0.0,0.875,0.0,0.827,0.0,0.739,0.0,0.779,0.0,0.913,0.0,0.876,0.0,0.74,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[19, 23, 23, 12, 13]",717.517,0.743,0.0,0.885,0.0,0.825,0.0,0.774,0.0,0.737,0.001,0.913,0.0,0.831,0.0,0.738,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[2, 12, 22, 13, 6]",328.984,0.721,0.0,0.878,0.0,0.821,0.0,0.769,0.0,0.771,0.0,0.896,0.0,0.859,0.0,0.713,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[18, 1, 6, 28, 16]",356.513,0.718,0.0,0.877,0.0,0.826,0.0,0.773,0.0,0.781,0.0,0.898,0.0,0.873,0.0,0.725,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[11, 24, 18, 8, 6]",619.135,0.716,0.0,0.875,0.0,0.82,0.0,0.764,0.0,0.777,0.0,0.904,0.0,0.867,0.0,0.73,0.0
"[42, 43, 44, 45, 46]",True,default,True,default_combinations,"[8, 26, 5, 18, 20]",243.553,0.709,0.0,0.846,0.0,0.796,0.0,0.719,0.0,0.727,0.001,0.893,0.0,0.821,0.001,0.703,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_attributes,"[20, 31, 30, 26, 25]",286.601,0.705,0.0,0.876,0.0,0.827,0.0,0.741,0.0,0.779,0.0,0.912,0.0,0.876,0.0,0.738,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[25, 32, 18, 8, 27]",534.142,0.717,0.0,0.868,0.0,0.815,0.0,0.757,0.0,0.758,0.001,0.911,0.0,0.847,0.001,0.738,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,default_combinations,"[24, 29, 19, 29, 24]",281.396,0.73,0.0,0.873,0.0,0.825,0.0,0.77,0.0,0.781,0.0,0.901,0.0,0.873,0.0,0.727,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_attributes,"[18, 18, 22, 15, 26]",328.021,0.705,0.0,0.896,0.0,0.827,0.0,0.78,0.0,0.779,0.0,0.915,0.0,0.876,0.0,0.748,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[8, 7, 16, 9, 16]",564.405,0.723,0.0,0.881,0.0,0.826,0.0,0.778,0.0,0.787,0.0,0.904,0.0,0.875,0.0,0.726,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,default_combinations,"[15, 19, 17, 15, 7]",649.877,0.712,0.0,0.876,0.0,0.818,0.0,0.761,0.0,0.784,0.0,0.904,0.0,0.871,0.0,0.734,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_attributes,"[21, 28, 31, 24, 30]",685.565,0.705,0.0,0.878,0.0,0.827,0.0,0.744,0.0,0.779,0.0,0.914,0.0,0.876,0.0,0.74,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[23, 25, 6, 24, 11]",957.07,0.735,0.0,0.882,0.0,0.824,0.0,0.771,0.0,0.754,0.0,0.913,0.0,0.844,0.0,0.735,0.0
