seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_mae_mean,best_test_mae_var,best_test_mse_mean,best_test_mse_var,best_test_r2_mean,best_test_r2_var,best_val_mae_mean,best_val_mae_var,best_val_mse_mean,best_val_mse_var,best_val_r2_mean,best_val_r2_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[10, 12, 20, 15, 10]",198.13,3.505,0.014,18.67,1.441,0.312,0.002,3.132,0.001,15.531,0.131,0.277,0.0
"[42, 43, 44, 45, 46]",False,default,True,default_combinations,"[38, 17, 40, 12, 9]",450.156,3.541,0.005,18.62,1.073,0.314,0.001,3.171,0.004,15.558,0.325,0.276,0.001
"[42, 43, 44, 45, 46]",False,default,True,keep_attributes,"[40, 37, 38, 26, 42]",483.317,3.963,0.002,22.72,0.188,0.163,0.0,3.447,0.001,17.83,0.112,0.17,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[13, 31, 22, 6, 16]",652.702,3.509,0.006,18.278,1.073,0.327,0.001,3.059,0.008,14.95,0.485,0.304,0.001
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[22, 32, 10, 21, 20]",311.524,3.57,0.003,19.587,0.538,0.279,0.001,3.137,0.001,15.792,0.148,0.265,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[19, 21, 25, 24, 37]",335.719,3.395,0.012,18.087,0.847,0.334,0.001,3.142,0.0,15.503,0.033,0.279,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[16, 9, 9, 10, 11]",599.941,3.453,0.008,18.071,0.906,0.334,0.001,3.081,0.001,15.026,0.071,0.301,0.0
"[42, 43, 44, 45, 46]",True,default,True,default_combinations,"[10, 13, 9, 10, 10]",243.264,3.714,0.004,19.934,0.288,0.266,0.0,3.367,0.002,16.948,0.183,0.211,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_attributes,"[51, 50, 37, 41, 36]",289.068,3.978,0.001,22.935,0.061,0.155,0.0,3.484,0.0,18.265,0.094,0.15,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[23, 27, 12, 15, 23]",498.8,3.375,0.001,17.252,0.138,0.364,0.0,3.068,0.002,14.893,0.216,0.307,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,default_combinations,"[34, 39, 28, 24, 48]",263.762,3.442,0.007,18.517,0.794,0.318,0.001,3.171,0.0,15.508,0.015,0.278,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_attributes,"[50, 46, 45, 47, 32]",317.76,3.928,0.0,22.577,0.012,0.168,0.0,3.425,0.004,17.7,0.612,0.176,0.001
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[19, 19, 12, 13, 12]",540.601,3.313,0.006,17.18,0.6,0.367,0.001,3.154,0.001,15.571,0.157,0.276,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,default_combinations,"[16, 8, 10, 24, 17]",616.635,3.441,0.003,17.479,0.327,0.356,0.0,3.157,0.0,15.421,0.046,0.282,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_attributes,"[50, 49, 45, 50, 44]",636.921,3.938,0.001,22.601,0.129,0.168,0.0,3.462,0.001,18.144,0.101,0.156,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[12, 10, 19, 12, 13]",831.974,3.327,0.004,16.586,0.366,0.389,0.0,3.096,0.002,15.2,0.084,0.293,0.0
