seeds,process_bridge,bridge_strategy,process_hub,hub_strategy,best_epochs,avg_training_time_s,best_test_accuracy_mean,best_test_accuracy_var,best_test_average_precision_mean,best_test_average_precision_var,best_test_f1_mean,best_test_f1_var,best_test_roc_auc_mean,best_test_roc_auc_var,best_val_accuracy_mean,best_val_accuracy_var,best_val_average_precision_mean,best_val_average_precision_var,best_val_f1_mean,best_val_f1_var,best_val_roc_auc_mean,best_val_roc_auc_var
"[42, 43, 44, 45, 46]",False,default,False,default_combinations,"[4, 6, 4, 4, 3]",216.638,0.81,0.0,0.41,0.0,0.505,0.003,0.843,0.0,0.764,0.001,0.456,0.001,0.444,0.0,0.759,0.0
"[42, 43, 44, 45, 46]",False,default,True,default_combinations,"[2, 4, 2, 2, 2]",586.262,0.819,0.0,0.439,0.0,0.283,0.048,0.854,0.0,0.796,0.0,0.451,0.0,0.269,0.031,0.786,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_attributes,"[183, 169, 142, 65, 175]",647.362,0.81,0.001,0.542,0.0,0.399,0.04,0.844,0.0,0.816,0.0,0.559,0.0,0.244,0.025,0.828,0.0
"[42, 43, 44, 45, 46]",False,default,True,keep_table,"[3, 2, 2, 19, 3]",922.919,0.814,0.0,0.403,0.0,0.278,0.031,0.834,0.0,0.802,0.0,0.447,0.001,0.345,0.016,0.767,0.0
"[42, 43, 44, 45, 46]",True,default,False,default_combinations,"[5, 4, 5, 13, 2]",344.537,0.803,0.0,0.391,0.0,0.333,0.02,0.828,0.0,0.795,0.0,0.46,0.0,0.406,0.005,0.766,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,False,default_combinations,"[2, 10, 4, 6, 7]",379.563,0.824,0.0,0.582,0.0,0.0,0.0,0.863,0.0,0.798,0.0,0.533,0.0,0.0,0.0,0.801,0.0
"[42, 43, 44, 45, 46]",True,keep_table,False,default_combinations,"[4, 5, 28, 4, 3]",645.739,0.799,0.0,0.411,0.001,0.39,0.005,0.827,0.0,0.787,0.001,0.471,0.001,0.437,0.003,0.763,0.0
"[42, 43, 44, 45, 46]",True,default,True,default_combinations,"[1, 1, 1, 21, 29]",299.375,0.782,0.003,0.312,0.006,0.068,0.007,0.745,0.004,0.774,0.001,0.421,0.0,0.141,0.032,0.773,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_attributes,"[220, 210, 209, 234, 83]",320.696,0.794,0.0,0.54,0.0,0.509,0.001,0.844,0.0,0.833,0.0,0.546,0.001,0.43,0.009,0.822,0.0
"[42, 43, 44, 45, 46]",True,default,True,keep_table,"[2, 10, 2, 9, 3]",657.206,0.799,0.0,0.373,0.0,0.28,0.024,0.821,0.0,0.803,0.0,0.462,0.0,0.372,0.027,0.774,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,default_combinations,"[38, 80, 49, 41, 23]",306.565,0.805,0.001,0.589,0.0,0.555,0.001,0.868,0.0,0.811,0.001,0.549,0.0,0.474,0.005,0.821,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_attributes,"[220, 210, 209, 234, 247]",357.65,0.759,0.0,0.546,0.0,0.524,0.0,0.844,0.0,0.834,0.0,0.551,0.0,0.536,0.0,0.826,0.0
"[42, 43, 44, 45, 46]",True,keep_attributes,True,keep_table,"[4, 4, 5, 6, 17]",668.327,0.827,0.0,0.56,0.0,0.077,0.023,0.862,0.0,0.801,0.0,0.518,0.001,0.045,0.008,0.797,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,default_combinations,"[2, 2, 2, 2, 2]",748.721,0.816,0.0,0.427,0.0,0.087,0.019,0.845,0.0,0.804,0.0,0.465,0.0,0.127,0.012,0.786,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_attributes,"[205, 156, 127, 223, 140]",814.123,0.801,0.0,0.561,0.0,0.527,0.0,0.853,0.0,0.821,0.0,0.544,0.0,0.377,0.014,0.824,0.0
"[42, 43, 44, 45, 46]",True,keep_table,True,keep_table,"[2, 2, 2, 3, 2]",1184.137,0.81,0.0,0.419,0.0,0.428,0.01,0.851,0.0,0.784,0.001,0.446,0.001,0.387,0.008,0.766,0.0
